Source,Target,Type,Weight
565,1865,Directed,1
565,3069,Directed,1
565,3649,Directed,1
565,1868,Directed,1
565,1297,Directed,1
565,103,Directed,1
565,4194,Directed,1
565,4195,Directed,1
565,1298,Directed,1
565,3653,Directed,1
565,1300,Directed,1
565,108,Directed,1
565,2463,Directed,1
565,661,Directed,1
565,663,Directed,1
565,4204,Directed,1
565,3075,Directed,1
565,1306,Directed,1
565,1307,Directed,1
565,1881,Directed,1
565,3658,Directed,1
565,3081,Directed,1
565,1884,Directed,1
565,122,Directed,1
565,3663,Directed,1
565,3084,Directed,1
565,1887,Directed,1
565,671,Directed,1
565,672,Directed,1
565,3087,Directed,1
565,4219,Directed,1
565,677,Directed,1
565,129,Directed,1
565,3088,Directed,1
565,1895,Directed,1
565,680,Directed,1
565,4224,Directed,1
565,4225,Directed,1
565,3672,Directed,1
565,4229,Directed,1
565,4230,Directed,1
565,134,Directed,1
565,2482,Directed,1
565,4233,Directed,1
565,1322,Directed,1
565,1323,Directed,1
565,3099,Directed,1
565,1902,Directed,1
565,4240,Directed,1
565,140,Directed,1
565,3679,Directed,1
565,2486,Directed,1
565,1903,Directed,1
565,2487,Directed,1
565,4244,Directed,1
565,3683,Directed,1
565,699,Directed,1
565,703,Directed,1
565,1328,Directed,1
565,1331,Directed,1
565,1332,Directed,1
565,147,Directed,1
565,4252,Directed,1
565,4256,Directed,1
565,1910,Directed,1
565,3687,Directed,1
565,152,Directed,1
565,711,Directed,1
565,3691,Directed,1
565,4262,Directed,1
565,3113,Directed,1
565,1338,Directed,1
565,3114,Directed,1
565,4265,Directed,1
565,3117,Directed,1
565,3695,Directed,1
565,1346,Directed,1
565,4270,Directed,1
565,1348,Directed,1
565,3698,Directed,1
565,3121,Directed,1
565,720,Directed,1
565,3122,Directed,1
565,722,Directed,1
565,3704,Directed,1
565,3706,Directed,1
565,3126,Directed,1
565,1929,Directed,1
565,3707,Directed,1
565,3127,Directed,1
565,3130,Directed,1
565,4275,Directed,1
565,3132,Directed,1
565,2508,Directed,1
565,166,Directed,1
565,1937,Directed,1
565,1369,Directed,1
565,2511,Directed,1
565,1374,Directed,1
565,3720,Directed,1
565,3722,Directed,1
565,3723,Directed,1
565,2517,Directed,1
565,3141,Directed,1
565,735,Directed,1
565,179,Directed,1
565,2523,Directed,1
565,1377,Directed,1
565,738,Directed,1
565,740,Directed,1
565,742,Directed,1
565,1382,Directed,1
565,2527,Directed,1
565,186,Directed,1
565,188,Directed,1
565,189,Directed,1
565,2530,Directed,1
565,2531,Directed,1
565,748,Directed,1
565,3738,Directed,1
565,4301,Directed,1
565,3158,Directed,1
565,1961,Directed,1
565,2542,Directed,1
565,1389,Directed,1
565,755,Directed,1
565,3166,Directed,1
565,1966,Directed,1
565,1391,Directed,1
565,202,Directed,1
565,203,Directed,1
565,2545,Directed,1
565,1968,Directed,1
565,758,Directed,1
565,3170,Directed,1
565,757,Directed,1
565,3172,Directed,1
565,3169,Directed,1
565,4311,Directed,1
565,206,Directed,1
565,3174,Directed,1
565,4315,Directed,1
565,3177,Directed,1
565,3752,Directed,1
565,771,Directed,1
565,1987,Directed,1
565,1986,Directed,1
565,3182,Directed,1
565,3756,Directed,1
565,774,Directed,1
565,776,Directed,1
565,777,Directed,1
565,3758,Directed,1
565,4329,Directed,1
565,4327,Directed,1
565,1406,Directed,1
565,3190,Directed,1
565,2566,Directed,1
565,2570,Directed,1
565,788,Directed,1
565,227,Directed,1
565,3767,Directed,1
565,3193,Directed,1
565,3771,Directed,1
565,3194,Directed,1
565,1998,Directed,1
565,1999,Directed,1
565,3202,Directed,1
565,1417,Directed,1
565,1418,Directed,1
565,235,Directed,1
565,3204,Directed,1
565,804,Directed,1
565,2590,Directed,1
565,245,Directed,1
565,3791,Directed,1
565,3793,Directed,1
565,3206,Directed,1
565,2012,Directed,1
565,1427,Directed,1
565,3795,Directed,1
565,1428,Directed,1
565,4363,Directed,1
565,4364,Directed,1
565,248,Directed,1
565,3210,Directed,1
565,811,Directed,1
565,250,Directed,1
565,3214,Directed,1
565,253,Directed,1
565,1435,Directed,1
565,2609,Directed,1
565,2610,Directed,1
565,2017,Directed,1
565,2018,Directed,1
565,4372,Directed,1
565,3808,Directed,1
565,4377,Directed,1
565,826,Directed,1
565,4379,Directed,1
565,1449,Directed,1
565,269,Directed,1
565,2619,Directed,1
565,832,Directed,1
565,2621,Directed,1
565,1452,Directed,1
565,3812,Directed,1
