Id,Label,group,attribute,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
214,regulate,word,29,97,20,5,0.351565,0.364723,1523.507326
215,prevent,word,123,0,125,4,0.426991,0.450666,31621.606301
216,large,word,243,106,249,4,0.456174,0.482295,98591.635587
217,amount,word,73,3,57,5,0.394932,0.41584,8147.717524
218,transfer,word,20,82,20,5,0.34963,0.361836,3388.1549
219,mother,word,48,97,55,5,0.400502,0.4213,9721.31524
220,fetus,word,15,0,16,5,0.362504,0.378201,714.373486
221,stimulant,word,20,0,23,5,0.356079,0.371393,630.793736
222,reason,word,39,3,25,5,0.383621,0.402043,1238.115064
223,agent,word,56,0,35,5,0.372681,0.390839,3063.66146
224,remifentanil,word,9,0,9,5,0.342137,0.353185,839.613129
225,suitable,word,5,0,1,6,0.296581,0.304576,0
226,context,word,28,90,22,5,0.356251,0.370851,5742.489755
227,general,word,111,106,101,4,0.414439,0.437715,27837.218038
228,bioavailability,word,90,0,88,5,0.381836,0.403643,21779.492895
229,intranasal,word,8,0,4,5,0.33532,0.346535,23.328008
230,clot,word,9,97,8,5,0.331091,0.341981,79.317096
231,swallow,word,8,0,7,5,0.344592,0.357728,29.230856
232,incorrect,word,10,90,8,5,0.322399,0.331962,173.39172
233,palliative,word,15,78,10,5,0.345398,0.357339,33.210201
234,safe,word,35,102,29,5,0.374524,0.392531,618.923399
235,low,word,257,97,269,4,0.454245,0.481872,131413.842506
236,demonstrate,word,22,97,11,5,0.341682,0.3543,174.86514
237,prospective,word,6,3,4,5,0.330572,0.34164,14.744043
238,observational,word,5,3,4,5,0.327076,0.335918,0.367313
239,study,word,303,3,291,4,0.458832,0.486767,185981.209117
240,child,word,151,82,160,5,0.422683,0.448668,63555.747808
241,useful,word,33,102,24,5,0.369049,0.38618,497.55041
242,moderate,word,60,3,58,5,0.384595,0.40535,5639.088251
243,severe,word,154,3,162,4,0.429038,0.454489,60379.898027
244,tolerate,word,19,97,18,5,0.366689,0.382769,340.934245
245,furthermore,word,7,97,5,5,0.320998,0.330591,9.928279
246,suggest,word,92,3,76,5,0.412414,0.434321,8208.389548
247,efficacy,word,62,102,60,5,0.395011,0.416198,6890.948763
248,lozenge,word,9,0,11,5,0.342038,0.353349,60.324426
249,young,word,50,82,46,5,0.382033,0.401577,14127.873098
250,little,word,45,0,29,5,0.381959,0.400237,1294.679907
251,control,word,238,102,255,4,0.458049,0.484185,127704.896097
252,sufficient,word,17,97,9,5,0.336179,0.346589,69.474367
253,dosage,word,84,102,91,5,0.401236,0.424107,12540.30449
254,contrast,word,15,3,2,5,0.327475,0.336127,0.230971
255,buccal,word,7,0,7,5,0.327095,0.337899,19.57945
256,tablet,word,90,0,91,5,0.400882,0.423641,18660.825468
257,chronic,word,112,3,89,5,0.39896,0.421841,11660.830434
258,transdermal,word,18,0,5,5,0.328459,0.339487,3.667875
259,patch,word,48,0,48,5,0.37009,0.388277,8723.614564
260,slowly,word,16,0,9,5,0.333202,0.344284,117.763767
261,release,word,94,0,82,4,0.40211,0.424454,30172.974442
262,skin,word,48,0,50,5,0.374335,0.393367,8791.579049
263,bloodstream,word,17,97,17,5,0.348434,0.361656,331.283821
264,hour,word,108,97,133,5,0.426714,0.45077,31389.618016
265,size,word,46,0,38,5,0.381466,0.400313,10819.353255
266,absorption,word,50,0,52,5,0.370484,0.389106,9759.241211
267,constant,word,30,4,29,5,0.361064,0.376497,3159.204023
268,temperature,word,56,97,56,5,0.377444,0.396885,13355.744243
269,change,word,116,90,110,4,0.423502,0.446504,31830.058148
270,dependent,word,23,0,20,5,0.376698,0.39379,1081.813548
271,factor,word,94,3,86,5,0.411724,0.434123,12640.706921
272,body,word,176,3,201,5,0.425945,0.454029,121816.755247
273,type,word,91,4,93,4,0.407717,0.430619,24645.610339
274,fat,word,21,3,18,5,0.359066,0.373822,716.041147
275,placement,word,31,97,30,5,0.345196,0.357835,4050.814077
276,major,word,171,106,166,4,0.446384,0.469824,50270.16749
277,different,word,117,4,119,4,0.418432,0.442357,36104.052068
278,system,word,249,4,256,4,0.457304,0.483565,166187.818233
279,affect,word,66,3,59,4,0.413569,0.434513,7136.32159
280,individual,word,121,3,120,5,0.426868,0.450403,39293.489108
281,route,word,90,97,96,5,0.407323,0.430413,22234.713884
282,normal,word,43,97,42,5,0.385625,0.404893,1497.201095
283,circumstance,word,22,82,21,5,0.365374,0.38107,871.753108
284,reach,word,59,97,53,5,0.401755,0.422702,4892.853862
285,handle,word,10,106,2,6,0.316831,0.326934,5.179981
286,unclear,word,15,4,14,5,0.352404,0.365786,364.394038
287,longterm,word,85,3,81,4,0.397751,0.420419,9712.527183
288,people,word,537,3,539,4,0.489355,0.523292,541798.115956
289,neuropathic,word,13,3,8,5,0.348085,0.361517,3.521059
290,sublingual,word,8,0,8,5,0.344151,0.355956,87.755718
291,dissolve,word,12,97,11,5,0.345762,0.357912,246.238173
292,quickly,word,31,0,28,5,0.37002,0.387876,6439.201483
293,absorb,word,23,0,23,5,0.366667,0.382936,797.249198
294,provide,word,153,78,155,5,0.441084,0.464652,54191.781479
295,compound,word,107,4,91,5,0.387065,0.409181,20414.58899
296,generally,word,96,97,94,5,0.425056,0.447215,18377.788268
297,particularly,word,68,3,40,4,0.399337,0.419305,4156.819422
298,episode,word,36,3,30,5,0.357091,0.372454,7828.814604
299,intensity,word,10,97,10,5,0.34361,0.3559,273.542568
300,care,word,166,78,154,5,0.425301,0.450728,49758.457294
301,limited,word,26,3,9,5,0.361395,0.375746,66.641258
302,role,word,55,90,38,5,0.388235,0.407785,2401.028486
303,minimize,word,11,102,2,5,0.30472,0.313921,14.31202
304,avoid,word,42,3,31,5,0.383049,0.402221,843.319449
305,external,word,7,78,2,5,0.314738,0.322245,1.485116
306,heat,word,24,106,19,5,0.3519,0.36503,1106.846134
307,source,word,78,0,64,5,0.410893,0.432205,17708.806788
308,direct,word,44,97,32,5,0.367442,0.384005,3289.08009
309,sunlight,word,6,0,8,5,0.317359,0.325622,69.883735
310,heating,word,5,102,1,6,0.249979,0.254458,0
311,etc,word,17,0,1,6,0.278029,0.285571,0
312,trigger,word,11,106,7,5,0.352509,0.365233,1073.533892
313,potentially,word,18,3,13,5,0.352657,0.366791,207.005879
314,deadly,word,11,0,6,5,0.345035,0.356481,42.597317
315,complication,word,52,97,57,5,0.380483,0.400601,2469.208748
316,pararescue,word,59,101,62,5,0.368796,0.387207,16026.888225
317,combat,word,62,101,53,5,0.385549,0.405471,14426.766604
318,afghanistan,word,220,82,220,5,0.435106,0.463114,111413.921022
319,lollipop,word,6,0,5,5,0.327548,0.337015,9.732797
320,casualty,word,8,82,6,5,0.320701,0.329225,17.899384
321,trauma,word,24,97,25,5,0.344995,0.357195,1082.053033
322,fall,word,74,90,61,5,0.396523,0.41766,13341.75675
323,mouth,word,60,97,66,5,0.390442,0.411684,13763.140683
324,indicate,word,63,4,56,5,0.397671,0.418549,11663.720796
325,somewhat,word,10,3,5,5,0.329264,0.340221,19.530841
326,likelihood,word,12,3,10,5,0.350876,0.364029,737.183247
327,associate,word,135,3,112,4,0.420936,0.444473,16668.891445
328,risk,word,396,3,349,4,0.451192,0.483875,195354.764202
329,help,word,88,4,59,5,0.401564,0.422716,8273.609191
330,relieve,word,26,3,20,5,0.363642,0.380252,210.087441
331,shortness,word,6,0,4,5,0.318402,0.327569,0.628105
332,breath,word,13,0,14,5,0.337543,0.348775,487.127643
333,refractory,word,6,3,8,5,0.339815,0.352813,282.532715
334,setting,word,9,78,3,5,0.328513,0.339388,0
335,treat,word,179,102,177,5,0.428851,0.455327,66248.95306
336,strong,word,70,0,60,5,0.40398,0.425151,7886.213793
337,citrate,word,7,0,3,5,0.325061,0.336036,4.272965
338,nasal,word,8,0,4,5,0.317632,0.326449,14.748449
339,spray,word,16,0,12,5,0.3315,0.34223,549.920539
340,level,word,256,3,260,5,0.455787,0.482682,137277.998443
341,especially,word,78,3,62,5,0.421929,0.44256,6320.045042
342,cost,word,105,78,106,5,0.417781,0.441197,30341.566951
343,benefit,word,56,78,65,5,0.396949,0.41863,8513.816438
344,compare,word,72,0,65,5,0.412961,0.434321,5390.551349
345,oral,word,100,97,91,5,0.395276,0.418235,17434.431037
346,option,word,9,106,5,5,0.347266,0.360039,118.484929
347,appear,word,77,97,58,4,0.403153,0.424285,14437.433199
348,effective,word,159,102,154,5,0.422774,0.448414,53261.50234
349,superior,word,28,82,27,5,0.365713,0.382035,2050.814579
350,intramuscular,word,22,97,19,5,0.342633,0.355714,224.442779
351,acute,word,93,3,74,5,0.399095,0.421159,14540.41293
352,hospital,word,84,3,87,5,0.394536,0.417186,12157.985629
353,development,word,130,78,120,4,0.436295,0.45858,43330.663759
354,aim,word,27,78,19,5,0.362482,0.377879,790.445742
355,postoperative,word,33,3,28,5,0.357502,0.373997,1661.482845
356,technology,word,33,106,23,5,0.37531,0.392498,2011.346931
357,consist,word,55,97,47,5,0.38628,0.406092,16955.266898
358,administer,word,103,97,110,5,0.408732,0.43267,14189.276011
359,hydrochloride,word,13,4,11,5,0.336927,0.347052,228.164817
360,experiment,word,18,0,9,5,0.325706,0.336626,393.9666
361,withdraw,word,29,97,26,5,0.367671,0.384025,1515.714258
362,inadequate,word,12,3,11,5,0.345398,0.357454,224.863221
363,prove,word,28,0,14,5,0.360161,0.375478,581.229279
