Id,Label,group,attribute,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1230,oral administration,word,12,97,8,5,0.32773,0.339735,123.368922
1231,nations office,word,14,0,6,5,0.321242,0.33008,359.004975
1232,users,word,34,0,25,5,0.362193,0.378695,7221.235788
1233,opiates,word,11,0,4,5,0.333409,0.344724,6.375115
1234,adolescents,word,10,82,2,6,0.3,0.308645,0.414276
1235,north america,word,21,106,8,6,0.332283,0.34379,69.33599
1236,stories,word,10,90,5,5,0.311731,0.321271,44.802052
1237,officers,word,13,101,6,5,0.321364,0.329722,126.446075
1238,quantities,word,8,3,5,5,0.351231,0.363682,14.701147
1239,concentrations,word,22,3,10,5,0.337717,0.349963,226.183002
1240,symptoms,word,63,3,44,5,0.376626,0.396163,6291.358642
1241,expressed,word,20,3,4,5,0.337968,0.348902,59.14004
1242,experts,word,8,78,4,5,0.331203,0.341431,26.886318
1243,centers,word,10,78,5,5,0.310503,0.320696,215.386685
1244,members,word,39,90,24,5,0.36508,0.38157,2045.900049
1245,measures,word,13,0,5,5,0.320111,0.329471,129.738675
1246,months,word,33,3,17,5,0.371276,0.387752,1662.87938
1247,recommended,word,6,102,1,6,0.284182,0.292585,0
1248,actions,word,27,3,10,5,0.334144,0.344865,1091.825558
1249,drug enforcement,word,6,97,2,5,0.327058,0.336809,0
1250,structures,word,14,97,8,5,0.312738,0.322925,101.362741
1251,modifications,word,7,0,7,5,0.340913,0.352452,94.095933
1252,central nervous system,word,11,0,3,5,0.32549,0.335672,28.601009
1253,positions,word,8,78,4,5,0.324935,0.334301,179.85011
1254,animals,word,36,4,20,5,0.356294,0.371886,1499.880563
1255,receptors,word,14,0,7,5,0.313535,0.324894,5921.136819
1256,binds,word,15,0,12,5,0.341741,0.355784,6213.610364
1257,inhibits,word,14,0,6,5,0.348393,0.360981,35.713249
1258,changing,word,9,78,5,5,0.338064,0.348132,99.292875
1259,decreasing,word,19,0,11,5,0.327675,0.337549,251.45018
1260,receptor agonist,bigram,4,0,1,6,0.254711,0.2602,0
1261,measured,word,11,0,3,5,0.288823,0.297266,18.995426
1262,victims,word,17,82,14,5,0.34901,0.361915,412.956467
1263,detected,word,10,78,6,5,0.322118,0.331784,100.685345
1264,tested,word,12,0,7,5,0.340952,0.353549,1864.060427
1265,methods,word,15,82,5,5,0.329062,0.339812,42.524494
1266,compounds,word,24,97,7,5,0.31794,0.325591,89.640823
1267,intermediates,word,5,14,0,0,0,0,0
1268,clinical trials,word,17,102,11,5,0.356015,0.370106,163.079569
1269,subjects,word,8,0,2,5,0.335054,0.346386,0
1270,controlled,word,19,82,11,5,0.358761,0.373458,546.81161
1271,controlled substance,word,8,0,6,5,0.34184,0.352982,32.165366
1272,limits,word,5,0,1,6,0.279847,0.287472,0
1273,substances,word,32,0,11,5,0.353226,0.368673,5509.468764
1274,worlds,word,46,106,29,5,0.374358,0.39206,1668.212323
1275,documented,word,9,90,2,5,0.336294,0.345582,0
1276,opium poppy,word,11,0,6,5,0.324739,0.336028,26.035393
1277,afghanistan,word,7,82,1,6,0.314721,0.325512,0
1278,governments,word,18,82,3,6,0.329026,0.34028,0
1279,officials,word,18,82,8,5,0.346107,0.359314,281.183743
1280,mids,word,7,0,3,6,0.302954,0.310688,15.655648
1281,identified,word,17,97,4,5,0.32284,0.332103,23.144818
1282,injected,word,21,97,13,5,0.34558,0.359587,150.721336
1283,streets,word,8,106,3,6,0.328513,0.341025,105.543743
1284,ranges,word,12,106,2,6,0.291258,0.299275,3.988149
1285,investigations,word,8,0,2,6,0.306586,0.315143,2.220731
1286,individuals,word,57,3,33,5,0.384846,0.403981,3405.932518
1287,effects of,word,17,3,11,5,0.353057,0.367172,317.2417
1288,cities,word,50,106,23,5,0.369673,0.38679,1668.274352
1289,agencies,word,7,15,0,0,0,0,0
1290,distributed,word,5,3,1,6,0.292817,0.301388,0
1291,accused,word,10,82,1,6,0.314721,0.325512,0
1292,ordered,word,9,82,2,5,0.326408,0.335785,84.910387
1293,customs,word,9,106,2,6,0.294599,0.30252,0
1294,schedule i,word,5,0,5,5,0.332751,0.342207,31.613989
1295,disease control,word,7,78,6,6,0.306491,0.314415,58.783396
1296,prevention cdc,word,5,78,3,6,0.297657,0.305477,10.240706
1297,licensed,word,21,90,11,5,0.366257,0.381361,587.319009
1298,suspected,word,14,0,7,5,0.312871,0.322882,707.171982
1299,authorities,word,10,78,4,6,0.271811,0.278655,229.195271
1300,imported,word,8,0,1,6,0.248318,0.252252,0
1301,parents,word,14,3,7,5,0.336984,0.348742,63.709265
1302,cartels,word,9,90,11,5,0.346797,0.358888,479.529242
1303,smuggled,word,12,106,10,6,0.323282,0.332777,288.787261
1304,drug trafficking,word,6,0,1,6,0.2967,0.304122,0
1305,networks,word,9,78,5,5,0.337273,0.347311,156.474754
1306,countries,word,153,82,128,5,0.418996,0.443519,44687.955713
1307,regions,word,20,82,5,5,0.333974,0.343748,368.413318
1308,charged,word,7,0,1,5,0.317342,0.326802,0
1309,federal government,word,7,106,7,5,0.352404,0.365854,6059.867112
1310,products,word,12,4,4,6,0.286469,0.294349,19.245204
1311,purchased,word,7,90,1,5,0.302257,0.312578,0
1312,transported,word,9,0,2,6,0.262673,0.268766,2.087078
1313,grams,word,5,106,1,6,0.288625,0.296422,0
1314,medications,word,45,78,30,5,0.360227,0.376542,2142.710358
1315,misused,word,7,0,4,5,0.347777,0.360087,8.104589
1316,pharmacists,word,6,0,3,6,0.301362,0.30954,11.568262
1317,inmates,word,6,82,5,5,0.340187,0.350948,36.369265
1318,lethal injection,word,7,0,2,5,0.323441,0.332131,0
1319,potassium chloride,word,6,97,3,6,0.331017,0.339828,4.234931
1320,days,word,63,97,39,5,0.38285,0.402105,6308.448185
1321,health care providers,word,6,16,0,0,0,0,0
1322,species,word,29,106,6,6,0.326823,0.3369,318.828441
1323,specialized,word,13,78,6,6,0.330018,0.33971,31.054321
1324,headquartered,word,13,106,10,6,0.34347,0.35619,141.548843
1325,geneva,word,6,78,4,6,0.29871,0.306803,21.660723
1326,switzerland,word,15,106,10,6,0.328477,0.338593,1050.800642
1327,regional,word,63,106,59,5,0.383372,0.403516,5011.301244
1328,field,word,46,106,34,5,0.369488,0.386996,5135.028517
1329,worldwide,word,51,82,43,5,0.396416,0.416489,6138.981576
1330,participate,word,25,90,17,5,0.358674,0.373373,1640.206888
1331,international,word,234,78,227,5,0.43964,0.467431,104691.858995
1332,purpose,word,36,0,22,5,0.37653,0.393866,459.163112
1333,achieve,word,24,97,18,5,0.372376,0.388976,131.282467
1334,define,word,61,4,60,5,0.400095,0.420975,15787.197567
1335,wellbeing,word,9,78,7,5,0.348352,0.360434,128.187168
1336,absence,word,18,106,17,5,0.355779,0.36955,945.969248
1337,function,word,114,3,117,4,0.426467,0.449791,47642.772705
1338,promote,word,56,78,43,5,0.376722,0.395158,5751.113257
1339,improve,word,84,78,87,5,0.413048,0.435591,19946.520818
1340,teaching,word,10,90,10,6,0.324009,0.332969,341.705987
1341,training,word,68,101,78,5,0.385047,0.406351,27866.095511
1342,matter,word,33,97,20,5,0.356638,0.371006,7292.935971
1343,establishment,word,19,106,10,5,0.331296,0.342029,125.877142
1344,standard,word,87,4,74,5,0.405979,0.42793,13140.262485
1345,biological,word,15,0,10,5,0.32639,0.335844,542.129648
1346,establish,word,87,78,77,5,0.405033,0.427211,12215.660573
1347,formally,word,9,106,9,5,0.360931,0.37549,82.553165
1348,incorporate,word,17,106,6,5,0.337659,0.351552,221.31235
1349,asset,word,9,78,7,5,0.310927,0.31902,29.626922
1350,personnel,word,30,101,25,5,0.351106,0.364308,2129.150756
1351,duty,word,27,101,30,5,0.353268,0.366751,12478.63146
1352,league,word,80,90,64,5,0.392101,0.413399,13240.561552
1353,agencys,word,6,82,2,5,0.292962,0.300855,1.869409
1354,financial,word,33,106,33,5,0.37771,0.395898,2466.440226
1355,technical,word,21,90,20,5,0.330536,0.342139,876.858616
1356,resource,word,28,0,18,5,0.353311,0.366156,705.892037
1357,mandate,word,13,78,8,5,0.364922,0.379877,20.90969
1358,vulnerable,word,7,3,8,5,0.345904,0.357274,189.009462
1359,assistance,word,20,78,13,5,0.342912,0.353916,342.573302
1360,collect,word,14,78,11,5,0.353501,0.367423,252.272009
1361,datum,word,68,78,66,5,0.404312,0.425842,16780.173004
1362,serve,word,65,106,55,5,0.394668,0.415544,8914.957555
1363,forum,word,8,78,6,6,0.306316,0.315276,5975.662815
1364,policy,word,85,78,84,5,0.41158,0.434137,23598.287523
1365,discussion,word,15,90,9,5,0.338724,0.349001,125.518007
1366,assessment,word,34,78,30,5,0.372446,0.389591,3728.804341
1367,topic,word,8,78,2,5,0.335377,0.34517,0
1368,play,word,84,90,65,5,0.389259,0.410451,17090.954017
1369,achievement,word,12,4,12,5,0.336984,0.347207,1647.727247
1370,notably,word,26,90,10,5,0.350647,0.363543,603.055934
1371,eradication,word,20,78,16,5,0.34359,0.35509,831.81556
1372,smallpox,word,23,78,28,5,0.363709,0.379885,2338.368
1373,polio,word,23,78,25,5,0.366735,0.382933,2048.08029
1374,ebola,word,9,78,9,5,0.34345,0.35476,44.074156
1375,vaccine,word,20,78,20,5,0.351106,0.363704,557.284766
1376,current,word,42,106,29,5,0.363374,0.379039,1899.69039
1377,priority,word,7,90,1,5,0.28579,0.292856,0
1378,hivaid,word,12,78,9,5,0.352341,0.365256,44.404952
1379,malaria,word,29,78,29,5,0.360491,0.375475,2061.17304
1380,tuberculosis,word,40,78,39,5,0.372259,0.390302,6182.765935
1381,healthy,word,24,90,17,5,0.360777,0.375667,457.418633
1382,diet,word,23,4,14,5,0.34788,0.360468,149.661114
1383,nutrition,word,12,0,9,5,0.344954,0.356348,165.980088
1384,universal,word,15,78,10,5,0.340402,0.351947,120.706129
1385,engagement,word,11,90,7,5,0.340716,0.35261,390.676212
1386,monitoring,word,15,0,11,5,0.351377,0.365812,344.253567
1387,coordinate,word,17,78,11,5,0.345823,0.357469,139.088399
1388,govern,word,18,106,19,5,0.367694,0.383954,199.808467
1389,assembly,word,76,106,68,5,0.384821,0.406041,14448.652028
1390,wha,word,8,106,6,5,0.349093,0.361977,255.888884
1391,compose,word,13,106,5,5,0.310176,0.318354,169.455455
1392,elect,word,44,106,46,5,0.374263,0.393059,4078.334035
1393,executive,word,43,106,31,5,0.378145,0.396293,2562.940961
1394,board,word,49,106,42,5,0.377059,0.395644,6690.007609
1395,specialist,word,15,78,8,5,0.34635,0.358391,897.506616
1396,chief,word,29,82,19,5,0.339717,0.353075,1421.187298
1397,administrator,word,8,82,6,5,0.31096,0.320696,473.103788
1398,directorgeneral,word,18,106,14,5,0.347532,0.359901,4739.721351
1399,currently,word,31,106,23,5,0.366826,0.383113,1383.507913
1400,adhanom,word,5,106,4,6,0.268916,0.275495,12.330291
1401,ghebreyesus,word,5,106,3,6,0.267733,0.274096,0
1402,budget,word,48,106,43,5,0.381195,0.400384,6178.899061
1403,fund,word,39,78,32,5,0.379676,0.397937,2538.986152
1404,contribution,word,21,106,21,5,0.364517,0.380187,3130.48984
1405,assess,word,22,106,17,5,0.360865,0.375856,606.795025
1406,voluntary,word,23,106,19,5,0.341307,0.352751,1548.336404
1407,private,word,46,106,42,5,0.378121,0.397266,6849.521931
1408,donor,word,15,106,15,5,0.360315,0.374897,657.971608
1409,billion,word,37,106,34,5,0.379823,0.398191,1487.148804
1410,sanitary,word,11,106,9,6,0.346736,0.359288,283.026939
1411,conference,word,59,106,68,5,0.381343,0.401794,22729.636875
1412,isc,word,5,78,4,5,0.31568,0.323766,11.09893
1413,hold,word,93,90,74,5,0.406678,0.428748,10941.732517
1414,place,word,122,97,116,5,0.427888,0.450982,32005.779347
1415,paris,word,6,106,5,6,0.288259,0.296829,40.212778
1416,cholera,word,9,78,10,5,0.340756,0.352006,2283.57426
1417,century,word,114,90,104,5,0.419085,0.442193,32898.725658
1418,uncertain,word,6,0,2,5,0.3236,0.331815,3.325517
1419,agreement,word,23,82,15,5,0.31897,0.329505,473.402848
1420,appropriate,word,11,102,9,5,0.347328,0.359489,26.456358
1421,span,word,13,90,8,5,0.340304,0.35055,273.2466
1422,convene,word,5,106,2,5,0.32465,0.333686,0
1423,seventh,word,7,78,3,6,0.318832,0.330241,64.247862
1424,finally,word,11,90,3,5,0.342375,0.353329,43.783781
1425,convention,word,91,82,85,5,0.40679,0.429347,18301.065865
1426,shipping,word,15,106,11,6,0.341919,0.35421,204.495623
1427,canal,word,19,106,17,5,0.338355,0.350056,806.41932
1428,guard,word,6,4,2,6,0.271063,0.277408,0
1429,importation,word,17,4,17,5,0.361727,0.376768,7341.695027
1430,attend,word,51,82,51,5,0.383099,0.402932,7134.132587
1431,denmark,word,6,102,5,6,0.319729,0.328791,5.580815
1432,agree,word,20,82,9,5,0.324204,0.334036,168.897764
1433,prior,word,50,97,35,5,0.395965,0.415657,3789.238088
1434,codify,word,5,82,2,6,0.307208,0.31569,2.345232
1435,yellow,word,11,106,2,6,0.267092,0.273001,5.285354
1436,fever,word,23,3,15,5,0.345035,0.357759,3687.961118
1437,leprosy,word,6,78,2,5,0.303655,0.312101,0
1438,success,word,21,82,15,5,0.342653,0.353724,643.222097
1439,bureau,word,23,106,23,5,0.368037,0.384386,2865.38327
1440,hygiene,word,7,106,4,6,0.316136,0.32451,21.154287
1441,english,word,72,106,61,5,0.38397,0.404568,18971.598436
1442,soon,word,16,106,4,5,0.332059,0.340946,14.46897
1443,found,word,34,106,19,5,0.367488,0.383974,1889.214072
1444,war,word,147,82,133,5,0.419829,0.444704,41595.717043
1445,delegate,word,12,106,11,5,0.33958,0.350511,517.927933
1446,norwegian,word,5,82,5,6,0.312771,0.321912,93.54105
1447,brazilian,word,8,82,3,6,0.297822,0.305857,0
1448,fail,word,30,102,18,5,0.366416,0.38203,1378.754779
1449,resolution,word,41,106,39,5,0.370484,0.388313,10136.106374
1450,pass,word,85,106,63,4,0.402796,0.424271,10563.373901
1451,secretary,word,13,106,11,5,0.33061,0.340641,222.001541
1452,declaration,word,15,82,9,5,0.34375,0.355237,283.541783
1453,word,word,54,90,49,5,0.377396,0.396335,9695.980933
1454,emphasize,word,11,0,4,5,0.345358,0.357737,19.960083
1455,nature,word,21,102,6,6,0.321942,0.329445,68.232453
1456,seek,word,32,78,14,5,0.359481,0.373791,838.715213
1457,constitution,word,67,106,63,5,0.396629,0.417956,7502.772611
1458,specialize,word,6,4,3,5,0.330018,0.33905,3.921615
1459,ratify,word,26,106,32,5,0.37665,0.395099,1234.109923
1460,meeting,word,22,78,11,5,0.352573,0.366063,786.822517
1461,appoint,word,28,106,26,5,0.359788,0.375611,8091.213162
1462,stage,word,51,90,41,5,0.374145,0.392483,8904.646428
1463,assemblys,word,5,106,4,5,0.321068,0.329756,8.929332
1464,president,word,70,106,60,5,0.393433,0.414788,17576.174567
1465,sexually,word,5,97,3,6,0.285032,0.29289,10.237713
1466,transmit,word,7,97,4,5,0.296432,0.305265,126.14458
1467,infection,word,52,97,64,5,0.387395,0.408304,13404.081058
1468,maternal,word,25,3,25,5,0.362082,0.377563,846.464567
1469,legislative,word,27,106,28,5,0.372001,0.389484,1135.737012
1470,accurate,word,6,3,4,6,0.316018,0.324716,23.149896
1471,statistic,word,10,78,3,5,0.325078,0.334208,10.800973
1472,morbidity,word,6,3,7,5,0.333333,0.343948,10.95026
1473,feature,word,57,78,43,5,0.37931,0.398338,6352.012832
1474,symbol,word,33,4,30,5,0.347614,0.360098,3622.476481
1475,atomic,word,8,78,4,5,0.317683,0.326787,0
1476,energy,word,30,78,22,5,0.364337,0.379948,6547.061072
1477,propose,word,26,106,14,5,0.36418,0.379454,1339.458132
1478,programme,word,27,78,32,5,0.363687,0.379454,775.973784
1479,interest,word,21,90,15,5,0.344231,0.356162,521.959075
1480,party,word,76,106,81,5,0.390339,0.412291,21498.777299
1481,shall,word,6,90,3,5,0.336869,0.347548,1.412111
1482,consult,word,5,82,8,5,0.328788,0.338124,90.625563
1483,view,word,33,106,23,5,0.376266,0.39355,1453.704089
1484,adjust,word,11,3,5,5,0.331091,0.340452,61.420011
1485,mutual,word,8,90,9,5,0.324418,0.334397,290.045487
1486,statement,word,23,82,13,6,0.339093,0.351368,2314.176301
1487,activist,word,8,82,5,5,0.337524,0.347644,1078.086465
1488,woman,word,193,102,216,5,0.445207,0.471551,73983.95516
1489,future,word,28,106,25,5,0.354158,0.369178,4377.405484
1490,claim,word,57,82,41,5,0.392962,0.412849,5802.164578
1491,restricted,word,14,0,9,5,0.339619,0.350409,228.783818
1492,ability,word,40,97,33,5,0.375979,0.394216,2485.290358
1493,nuclear,word,11,82,8,5,0.333559,0.343897,431.7349
1494,power,word,70,82,59,5,0.390236,0.411142,13893.490565
1495,regain,word,5,102,4,5,0.332695,0.343158,42.58463
1496,independence,word,20,106,19,6,0.342038,0.354334,1258.621528
1497,independent,word,52,106,48,5,0.387802,0.407889,6304.07728
1498,weekly,word,13,106,10,5,0.335149,0.345917,1815.929271
1499,headquarters,word,41,106,32,5,0.374952,0.39285,8736.259237
1500,point,word,60,97,48,5,0.38867,0.408476,5331.455706
1501,clause,word,7,106,5,5,0.342296,0.353942,81.659636
1502,particular,word,34,4,20,5,0.370973,0.387653,3688.841647
1503,accordance,word,5,82,2,6,0.307576,0.315789,0
1504,statute,word,11,106,5,5,0.352194,0.365561,2.602233
1505,exchange,word,18,106,7,5,0.330665,0.342218,118.811402
1506,letter,word,37,90,35,5,0.361993,0.378156,5368.363652
1507,account,word,40,106,34,5,0.391114,0.41055,1438.779752
1508,respective,word,6,17,0,0,0,0,0
1509,responsibility,word,17,82,11,5,0.332452,0.342221,626.9214
1510,recognize,word,45,90,39,5,0.396842,0.416856,6400.421831
1511,encourage,word,22,3,7,5,0.344813,0.356365,29.785308
1512,practical,word,6,18,0,0,0,0,0
1513,right,word,118,82,118,5,0.417073,0.441191,36319.979001
1514,aspect,word,8,102,2,5,0.295114,0.30364,2.44002
1515,key,word,32,4,24,5,0.379652,0.397667,2240.261375
1516,text,word,9,82,6,5,0.311649,0.321345,166.95592
1517,highlight,word,14,3,8,5,0.34829,0.360349,277.035547
1518,free,word,62,4,55,5,0.389978,0.410513,17225.08214
1519,perform,word,73,97,73,5,0.401946,0.424036,19264.836863
1520,service,word,133,78,138,5,0.421327,0.446072,51675.242789
1521,soviet,word,20,82,13,6,0.341485,0.353307,214.971973
1522,constituent,word,10,4,7,5,0.325706,0.335435,75.521601
1523,republic,word,36,82,28,5,0.370484,0.387687,5608.585815
1524,recipe,word,7,0,3,6,0.305035,0.313478,0
1525,mass,word,40,4,32,5,0.363956,0.379976,2949.739968
1526,objective,word,17,90,17,5,0.360887,0.375602,1179.860102
1527,modify,word,11,4,7,5,0.332658,0.34243,122.634273
1528,area,word,253,106,242,4,0.443902,0.471982,125811.698706
1529,instead,word,50,0,47,5,0.385398,0.405223,10535.350615
1530,deputy,word,13,82,11,5,0.34401,0.35647,334.30864
1531,undertake,word,12,78,3,5,0.343051,0.354441,0
1532,eradicate,word,7,78,6,5,0.313452,0.321892,45.986476
1533,creation,word,23,106,20,5,0.362348,0.377267,941.751242
1534,move,word,36,106,15,5,0.373317,0.389713,639.477533
1535,ariana,word,5,106,3,6,0.296954,0.305053,51.627181
1536,palace,word,8,106,6,6,0.284757,0.292839,72.642743
1537,construct,word,10,106,3,6,0.337408,0.349328,7.883707
1538,intensify,word,6,3,5,5,0.335797,0.348341,8.404352
1539,annually,word,34,106,34,5,0.378217,0.396786,7925.572697
1540,surveillance,word,6,19,0,0,0,0,0
1541,problem,word,108,3,107,4,0.420158,0.443358,31303.168696
1542,team,word,137,90,123,5,0.406063,0.430893,37765.745571
1543,face,word,63,90,42,5,0.378266,0.396865,3517.836707
1544,reporting,word,16,78,16,5,0.347982,0.360042,843.3276
1545,consultant,word,5,78,4,5,0.31966,0.327656,30.547181
1546,european,word,142,82,159,5,0.426621,0.452195,57827.978052
1547,decade,word,31,90,16,5,0.361528,0.37644,168.276811
1548,fight,word,38,90,19,5,0.360271,0.375546,598.65837
1549,commission,word,42,82,29,5,0.366872,0.383125,5255.830803
1550,declare,word,36,90,25,5,0.372517,0.390051,1395.855461
1551,history,word,106,3,93,5,0.420487,0.442997,20426.482396
1552,eliminate,word,23,90,20,5,0.361882,0.37747,4072.721085
1553,immunization,word,6,78,7,5,0.335244,0.344885,11.268393
1554,partnership,word,16,0,12,5,0.343051,0.353899,714.823036
1555,agriculture,word,26,106,19,5,0.35533,0.369536,2068.7968
1556,bank,word,19,78,11,5,0.359503,0.374175,480.1343
1557,tropical,word,9,3,5,5,0.350668,0.362855,17.268667
1558,cosponsor,word,8,106,8,6,0.292527,0.301724,29.108851
1559,unicef,word,5,82,1,6,0.297118,0.305451,0
1560,request,word,27,82,23,5,0.356079,0.370699,3183.564972
1561,intensive,word,14,78,7,5,0.336141,0.346518,21.733153
1562,support,word,140,82,139,5,0.424201,0.449049,38508.599281
1563,strengthen,word,5,20,0,0,0,0,0
1564,enact,word,12,106,7,5,0.355137,0.368549,8.537944
1565,rehabilitation,word,18,82,19,5,0.369719,0.386028,856.299399
1566,focus,word,39,106,27,5,0.3788,0.396499,1167.296092
1567,draw,word,46,90,31,5,0.374382,0.391758,2556.978116
1568,discrimination,word,9,106,4,6,0.307432,0.315815,94.543424
1569,hivaids,word,9,78,3,5,0.336447,0.346329,0
1570,unaid,word,5,106,2,5,0.323335,0.331567,0
1571,certification,word,7,78,4,6,0.294379,0.302379,14.390283
1572,requirement,word,28,3,29,5,0.371183,0.388096,2037.569623
1573,progress,word,24,78,17,5,0.352994,0.366399,1319.521087
1574,elimination,word,35,0,28,5,0.366076,0.382611,1024.246572
1575,transmission,word,20,97,17,5,0.34397,0.356521,1369.507079
1576,process,word,99,97,95,5,0.400882,0.423901,30537.478331
1577,verification,word,6,106,2,6,0.275359,0.282134,2.184103
1578,gain,word,34,90,22,5,0.37247,0.389295,2458.232996
1579,survival,word,17,101,12,5,0.340618,0.351589,276.10185
1580,infant,word,20,82,15,5,0.358413,0.3735,267.629826
1581,mortality,word,36,3,35,5,0.368796,0.386129,3950.019368
1582,life,word,122,82,114,5,0.416015,0.439922,34796.688019
1583,accept,word,25,3,12,5,0.360051,0.37446,1032.300323
1584,millennium,word,10,78,7,5,0.321469,0.330074,46.823059
1585,credit,word,28,78,27,5,0.363776,0.379474,1505.146342
1586,aid,word,35,78,28,5,0.371253,0.388618,793.689734
1587,revise,word,5,82,1,6,0.303952,0.311949,0
1588,regulation,word,43,0,39,5,0.387522,0.406859,9711.764176
1589,light,word,37,3,30,5,0.371043,0.388505,7439.844575
1590,threat,word,15,78,10,5,0.342415,0.353406,735.126923
1591,experience,word,80,3,77,5,0.414294,0.436352,20785.903837
1592,authorize,word,13,101,8,5,0.348352,0.360905,196.257776
1593,thing,word,12,106,5,5,0.338471,0.348045,286.145413
1594,basis,word,27,4,13,5,0.342494,0.35314,142.812251
1595,plan,word,100,78,105,5,0.40927,0.432916,32184.656488
1596,influenza,word,5,78,5,6,0.319955,0.328263,3.739554
1597,conclude,word,18,78,14,5,0.341465,0.352635,431.950584
1598,perceive,word,5,82,2,6,0.303515,0.312307,0
1599,west,word,76,106,76,5,0.388235,0.409816,13297.976515
1600,announce,word,47,78,45,5,0.389387,0.409322,6283.860852
1601,novel,word,15,78,7,5,0.342912,0.355082,2051.695476
1602,coronavirus,word,16,78,17,5,0.348969,0.361342,4413.816065
1603,strain,word,10,78,5,6,0.268341,0.27453,102.118131
1604,council,word,84,106,99,5,0.413771,0.436888,28204.184447
1605,workforce,word,7,78,4,5,0.324989,0.334307,5916.071815
1606,revision,word,6,78,1,6,0.245287,0.249165,0
1607,african,word,48,106,42,5,0.38442,0.403919,3301.894481
1608,mark,word,22,78,13,5,0.359481,0.374115,171.332033
1609,actor,word,7,106,4,5,0.321732,0.329259,2.84175
1610,bill,word,96,106,90,5,0.392127,0.414915,38912.105605
1611,melinda,word,6,106,5,6,0.302164,0.310346,91.77963
1612,gate,word,10,106,4,6,0.294071,0.302429,20.160742
1613,foundation,word,17,106,16,5,0.353819,0.367953,2341.416352
1614,dozen,word,5,21,0,0,0,0,0
1615,weaken,word,7,22,0,0,0,0,0
1616,leader,word,51,82,38,5,0.37562,0.394035,10851.258322
1617,subsequently,word,19,78,6,5,0.333164,0.343496,51.253542
1618,proposal,word,7,106,3,5,0.320667,0.329953,0
1619,reform,word,13,82,7,5,0.34411,0.356292,1330.350388
1620,commitment,word,15,78,11,5,0.334485,0.345048,281.654667
1621,retain,word,31,82,24,5,0.362637,0.377981,694.332333
1622,track,word,14,78,8,5,0.323636,0.332851,240.083525
1623,scheme,word,8,102,1,6,0.276869,0.283912,0
1624,viable,word,5,23,0,0,0,0,0
1625,net,word,12,0,6,5,0.353649,0.366114,2022.308265
1626,pregnant,word,23,102,26,5,0.365464,0.382035,8707.073709
1627,partner,word,19,3,14,5,0.367008,0.38267,383.849309
1628,virus,word,7,78,5,5,0.311666,0.319262,32.159263
1629,vaccination,word,9,78,7,5,0.340677,0.35281,193.744725
1630,save,word,11,82,5,5,0.336831,0.347452,41.544947
1631,decline,word,57,3,51,5,0.39451,0.414909,16524.803201
1632,financing,word,11,82,7,6,0.299286,0.307423,52.159905
1633,vulnerability,word,6,3,3,5,0.30058,0.308913,3.164923
1634,roman,word,23,106,17,5,0.348023,0.361114,673.638748
1635,opposition,word,26,82,12,5,0.34381,0.354938,397.131304
1636,condom,word,17,3,14,5,0.346899,0.359604,641.692519
1637,hiv,word,31,78,30,5,0.377227,0.395268,3233.62628
1638,catholic,word,28,106,26,5,0.383447,0.40195,1317.317799
1639,church,word,39,106,38,5,0.363776,0.380774,2921.625689
1640,contraception,word,8,78,8,5,0.350876,0.362996,35.676952
1641,condemn,word,12,82,11,5,0.341366,0.35342,211.302721
1642,pope,word,5,101,2,6,0.29997,0.307861,0
1643,try,word,36,90,21,5,0.366621,0.382969,5943.104649
1644,battle,word,30,90,29,5,0.359023,0.374375,9215.023742
1645,collaboration,word,11,78,8,5,0.333352,0.343319,751.451102
1646,period,word,145,90,140,5,0.435684,0.459249,58386.73475
1647,critic,word,19,78,11,5,0.34899,0.361752,292.125714
1648,danger,word,14,0,12,5,0.354988,0.369178,1594.709292
1649,industry,word,109,106,102,5,0.410636,0.43401,18955.054914
1650,scientist,word,15,106,12,5,0.352699,0.365716,173.364287
1651,manufacturer,word,18,0,11,5,0.36266,0.377211,101.116192
1652,comprehensive,word,23,78,18,5,0.349609,0.36233,881.654997
1653,funding,word,44,106,27,5,0.373506,0.391039,3564.43562
1654,economic,word,40,106,36,5,0.383771,0.402847,2656.413475
1655,burden,word,14,3,13,5,0.34403,0.356642,813.140597
1656,society,word,62,78,56,5,0.395726,0.416616,11426.96634
1657,deal,word,21,106,10,5,0.353416,0.366706,281.665499
1658,line,word,70,106,65,5,0.38427,0.404777,14750.212185
1659,interim,word,19,82,20,5,0.372024,0.389084,1143.644627
1660,task,word,13,97,6,5,0.329117,0.338367,36.468144
1661,definition,word,42,4,40,5,0.375119,0.393505,15731.198464
1662,neglect,word,5,0,2,6,0.279661,0.287219,0
1663,restrictive,word,5,102,5,5,0.317274,0.325938,43.946418
1664,condition,word,115,3,111,5,0.417928,0.441459,36744.429221
1665,frame,word,5,4,2,5,0.331407,0.339521,1.790529
1666,thirteen,word,8,106,10,5,0.34635,0.359666,256.235668
1667,disorder,word,95,3,85,5,0.397831,0.420346,13438.839586
1668,violence,word,39,3,33,5,0.371393,0.388914,11302.403377
1669,impairment,word,20,97,17,5,0.347593,0.360674,2217.990703
1670,collectively,word,5,3,1,6,0.293166,0.300691,0
1671,division,word,54,102,47,5,0.370438,0.38866,5443.451014
